=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.09.26 11:35:07 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	21	3	30
1	11	20	30
2	21	37	3
3	26	37	11
4	12	31	21
5	11	30	20
6	35	22	11
7	30	11	20
8	20	11	36
9	11	31	21
10	11	21	32
11	33	11	23
12	21	35	12
13	32	3	22
14	21	34	3
15	36	11	24
16	31	11	21
17	31	12	21
18	11	30	20
19	3	21	31
20	32	21	3
21	31	12	21
22	36	3	21
23	26	12	42
24	11	23	34
25	36	3	21
26	31	11	21
27	12	24	35
28	31	3	21
29	21	3	30
30	31	12	21
31	31	11	21
32	23	11	36
33	23	4	39
34	33	11	21
35	3	31	20
36	11	20	36
37	12	21	33
38	12	23	40
39	11	20	30
40	20	11	29
41	7	36	26
42	35	11	23
43	11	36	24
44	12	27	41
45	21	30	12
46	31	3	21
47	11	20	30
48	11	38	21
49	11	30	20
50	11	30	20
51	11	20	35
52	21	12	30
53	35	11	25
54	4	21	33
55	11	20	30
56	11	30	20
57	31	21	3
58	22	39	11
59	11	34	24
60	11	20	30
61	37	21	12
62	45	27	11
63	37	25	11
64	11	20	35
65	33	22	11
66	43	25	11
67	12	22	33
68	21	30	12
69	11	30	20
70	12	40	23
71	26	41	12
72	31	12	21
73	31	12	21
74	11	22	34
75	3	36	25
76	31	21	12
77	35	3	21
78	40	23	11
79	11	24	35
80	21	32	3
81	3	20	30
82	11	20	30
83	11	30	20
84	31	21	12
85	12	31	21
86	11	22	35
87	30	11	20
88	3	21	31
89	11	20	30
90	21	12	30
91	30	11	20
92	22	31	12
93	11	31	20
94	21	30	12
95	21	31	11
96	11	20	30
97	21	34	11
98	30	11	20
99	3	21	36
100	3	23	39
101	20	11	32
102	11	20	30
103	32	11	22
104	21	34	3
105	12	30	20
106	40	3	22
107	37	11	22
108	23	40	11
109	21	30	12
110	39	11	23
111	31	12	21
112	11	20	30
113	34	22	11
114	24	36	12
115	35	23	11
116	22	3	38
117	21	12	30
118	21	11	30
119	12	20	30
120	35	23	11
121	30	21	12
122	31	11	21
123	21	36	3
124	20	11	29
125	39	11	22
126	23	35	12
127	21	30	12
128	39	3	23
129	20	11	30
130	21	30	12
131	11	20	33
132	21	33	3
133	37	11	23
134	21	32	11
135	11	20	30
136	33	11	23
137	30	11	20
138	31	11	21
139	3	37	22
140	35	21	3
141	34	21	11
142	11	20	30
143	22	31	12
144	24	38	3
145	46	4	13
146	32	3	22
147	44	55	12
148	11	20	35
149	3	30	20
150	31	20	11
151	30	11	20
152	24	12	37
153	24	12	35
154	11	31	20
155	11	33	20
156	26	46	11
157	36	12	24
158	4	37	25
159	21	30	11
160	38	12	23
161	21	30	11
162	11	30	20
163	11	30	20
164	11	42	26
165	21	30	11
166	23	11	36
167	11	38	25
168	22	11	37
169	21	31	11
170	7	44	21
171	39	23	11
172	32	22	11
173	12	24	36
174	3	37	25
175	11	30	20
176	21	3	31
177	11	23	36
178	31	11	20
179	11	37	22
180	11	21	32
181	35	11	24
182	12	40	25
183	23	38	3
184	24	12	38
185	35	11	22
186	38	26	11
187	11	30	20
188	31	11	21
189	21	12	30
190	31	11	21
191	21	12	30
192	11	20	30
193	35	3	21
194	32	11	22
195	25	38	12
196	31	3	21
197	21	3	31
198	25	15	34
199	21	36	3
200	21	12	33
201	3	21	34
202	24	12	38
203	21	32	11
204	11	20	31
205	12	30	20
206	12	21	31
207	11	25	36
208	3	22	33
209	30	11	20
210	31	12	21
211	11	37	21
212	21	3	33
213	12	21	32
214	38	21	12
215	25	40	12
216	36	11	24
217	40	24	12
218	25	11	41
219	12	26	37
220	25	37	11
221	21	3	33
222	30	11	20
223	41	11	28
224	30	11	21
225	12	20	30
226	11	20	30
227	12	34	22
228	11	30	20
229	31	12	21
230	3	22	39
231	33	21	3
232	24	33	12
233	30	11	20
234	31	11	21
235	30	11	20
236	30	11	20
237	11	30	20
238	31	12	21
239	41	25	11
240	23	34	11
241	30	11	20
242	12	30	21
243	21	12	30
244	36	24	3
245	21	11	30
246	21	32	11
247	33	3	21
248	11	30	20
249	37	26	11
250	24	37	11
251	11	26	37
252	38	26	11
253	34	11	23
254	3	20	30
255	11	20	30
256	30	11	20
257	3	38	26
258	39	30	49
259	3	21	31
260	11	30	20
261	21	30	3
262	11	22	34
263	3	20	32
264	11	32	20
265	24	3	36
266	31	3	21
267	20	29	11
268	34	21	3
269	36	24	11
270	31	12	21
271	25	11	40
272	31	11	21
273	3	39	23
274	13	3	21
275	37	11	20
276	11	20	30
277	11	20	33
278	21	11	33
279	11	20	30
280	38	11	25
281	21	32	3
282	31	11	21
283	11	24	38
284	21	11	35
285	34	24	12
286	41	3	25
287	11	36	21
288	23	12	41
289	36	24	11
290	3	21	34
291	11	21	34
292	21	11	31
293	21	3	30
294	20	11	29
295	12	20	30
296	23	34	11
297	11	33	20
298	11	20	30
299	33	3	21
300	21	3	34
301	22	33	3
302	3	36	20
303	11	30	20
304	3	31	20
305	31	21	11
306	30	11	20
307	21	30	3
308	31	11	21
309	3	31	21
310	21	30	3
311	31	11	21
312	11	30	20
313	21	30	3
314	31	21	3
315	11	30	20
316	30	21	11
317	21	11	30
318	33	12	22
319	40	11	24
320	11	21	37
321	32	22	4
322	21	35	3
323	21	31	3
324	38	21	11
325	35	11	23
326	12	30	20
327	12	21	30
328	11	20	30
329	12	21	38
330	12	20	30
331	12	24	39
332	12	38	24
333	11	30	20
334	11	30	20
335	38	22	11
336	11	30	20
337	22	31	12
338	22	3	39
339	20	11	29
340	11	24	40
341	12	21	30
342	36	24	11
343	20	29	11
344	30	11	20
345	30	11	20
346	22	37	12
347	31	11	21
348	27	11	44
349	37	3	21
350	11	20	30
351	11	23	68
352	11	30	20
353	35	22	11
354	21	11	31
355	40	25	11
356	11	20	30
357	12	21	31
358	12	21	30
359	12	33	21
360	11	20	30
361	31	11	21
362	31	11	21
363	30	11	20
364	3	12	21
365	3	30	20
366	31	12	21
367	11	39	23
368	11	30	20
369	11	20	30
370	30	11	20
371	36	21	12
372	42	11	26
373	21	30	11
374	31	21	12
375	21	11	30
376	22	34	11
377	11	25	36
378	22	3	35
379	12	21	30
380	22	31	13
381	21	4	34
382	11	32	20
383	36	3	21
384	30	11	20
385	12	20	30
386	3	21	37
387	37	3	21
388	21	35	3
389	11	23	35
390	21	32	11
391	3	20	35
392	43	6	29
393	21	11	30
394	12	20	30
395	22	36	3
396	34	11	23
397	5	36	14
398	3	21	36
399	3	36	20
400	21	30	12
401	21	11	36
402	12	20	30
403	34	3	21
404	21	11	32
405	12	20	30
406	22	31	4
407	21	3	37
408	21	30	12
409	3	21	38
410	37	22	11
411	20	37	11
412	33	3	22
413	30	11	20
414	31	21	11
415	38	11	21
416	21	32	3
417	11	20	30
418	36	21	3
419	23	37	11
420	12	21	31
421	25	11	41
422	11	20	30
423	24	40	11
424	35	3	21
425	35	24	12
426	33	11	22
427	12	20	30
428	26	11	43
429	30	11	20
430	11	20	30
431	11	20	30
432	21	37	11
433	31	12	21
434	12	21	30
435	12	21	33
436	11	20	30
437	12	21	33
438	12	24	36
439	38	11	22
440	11	30	20
441	12	25	38
442	11	21	36
443	25	80	15
444	12	31	21
445	11	20	30
446	21	11	33
447	11	22	39
448	35	25	12
449	38	11	22
450	21	12	32
451	31	11	21
452	37	27	11
453	32	11	21
454	11	36	20
455	33	21	3
456	3	32	20
457	22	3	37
458	11	30	20
459	3	21	37
460	11	20	30
461	12	40	26
462	12	21	30
463	11	20	30
464	11	32	22
465	20	30	11
466	11	31	20
467	11	20	30
468	12	31	21
469	20	11	29
470	13	31	21
471	21	3	36
472	40	11	25
473	22	33	11
474	11	30	20
475	22	34	12
476	21	3	34
477	30	11	20
478	20	31	11
479	37	22	11
480	39	11	23
481	4	21	36
482	30	20	11
483	3	30	20
484	12	23	40
485	34	3	22
486	3	22	32
487	11	30	20
488	21	30	12
489	11	31	20
490	12	31	21
491	11	20	30
492	12	20	30
493	31	21	3
494	20	11	29
495	33	22	12
496	25	11	40
497	11	20	30
498	11	20	30
499	22	30	12
500	41	11	24
501	12	20	30
502	30	11	20
503	11	20	30
504	31	12	21
505	20	11	29
506	12	30	20
507	11	22	35
508	34	11	23
509	11	30	20
510	31	11	21
511	23	11	40
512	12	20	33
513	30	21	11
514	31	21	11
515	32	21	3
516	11	30	20
517	11	30	20
518	40	24	12
519	21	3	30
520	21	30	11
521	31	21	3
522	30	11	20
523	41	11	25
524	66	14	23
525	31	21	12
526	24	11	41
527	12	20	30
528	11	20	30
529	21	3	32
530	3	21	36
531	35	11	25
532	33	11	23
533	11	20	30
534	12	34	23
535	30	21	11
536	23	34	11
537	11	34	23
538	11	30	20
539	3	21	33
540	12	21	31
541	23	39	4
542	31	21	3
543	21	3	37
544	20	11	29
545	20	11	29
546	23	11	38
547	31	21	3
548	41	24	11
549	20	11	32
550	30	11	20
551	11	20	30
552	3	32	21
553	11	35	20
554	35	20	11
555	30	21	11
556	35	11	23
557	11	37	24
558	3	21	34
559	4	24	39
560	12	31	21
561	40	25	11
562	22	3	37
563	41	12	25
564	39	11	23
565	21	3	36
566	11	31	21
567	25	42	11
568	22	31	13
569	33	3	22
570	11	21	33
571	11	20	30
572	36	3	21
573	30	21	12
574	31	21	3
575	31	11	21
576	31	11	21
577	12	35	24
578	23	33	12
579	32	3	21
580	36	21	11
581	12	30	20
582	11	20	30
583	11	20	30
584	32	21	3
585	21	4	32
586	37	21	3
587	39	22	11
588	12	20	30
589	37	21	11
590	21	12	30
591	30	21	11
592	26	12	44
593	12	20	30
594	11	30	20
595	36	21	12
596	21	30	12
597	22	11	34
598	14	33	23
599	23	33	11
600	11	24	36
601	35	3	21
602	3	33	22
603	21	30	3
604	11	21	37
605	11	33	21
606	22	30	12
607	11	20	30
608	33	22	3
609	21	30	3
610	21	11	33
611	33	21	3
612	32	12	21
613	31	21	11
614	11	30	20
615	12	21	32
616	22	39	12
617	21	30	11
618	3	22	40
619	34	23	3
620	26	42	11
621	26	91	16
622	23	11	33
623	11	30	20
624	11	31	21
625	11	30	20
626	21	37	3
627	32	21	3
628	21	11	32
629	37	21	3
630	31	12	21
631	31	3	21
632	30	21	3
633	11	20	30
634	40	12	23
635	21	31	3
636	33	12	22
637	30	21	11
638	31	11	21
639	31	11	21
640	25	41	12
641	21	3	35
642	21	30	3
643	11	24	41
644	21	11	36
645	38	11	23
646	11	21	31
647	13	22	33
648	22	31	12
649	3	32	21
650	11	30	20
651	21	30	12
652	12	30	20
653	25	11	35
654	12	32	21
655	12	25	37
656	39	11	23
657	12	21	30
658	24	12	35
659	35	3	21
660	30	21	12
661	11	20	30
662	31	11	21
663	21	33	3
664	23	37	3
665	3	20	31
666	3	20	32
667	3	30	20
668	23	39	11
669	35	21	3
670	26	12	37
671	11	30	20
672	11	30	20
673	3	35	20
674	24	35	11
675	25	41	12
676	11	20	30
677	12	20	30
678	11	20	30
679	11	35	22
680	11	20	30
681	21	12	30
682	31	3	21
683	35	3	21
684	35	16	25
685	38	22	11
686	22	38	3
687	4	34	22
688	20	29	11
689	31	22	12
690	11	20	30
691	35	11	24
692	12	31	21
693	22	35	11
694	36	3	21
695	30	11	20
696	31	12	21
697	31	12	21
698	11	30	20
699	22	13	31
700	3	21	34
701	11	30	20
702	11	30	20
703	11	37	23
704	21	12	30
705	21	12	30
706	3	31	21
707	21	34	3
708	11	30	20
709	11	30	20
710	11	30	20
711	11	20	30
712	11	20	30
713	11	20	30
714	11	30	20
715	20	36	11
716	30	20	11
717	31	3	21
718	12	31	21
719	25	15	85
720	11	20	30
