=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.09.26 12:11:54 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	478	469	454
1	633	624	614
2	302	311	292
3	1025	1015	954
4	456	465	381
5	514	524	457
6	63	53	43
7	762	753	743
8	381	371	362
9	934	925	915
10	88	98	28
11	930	940	856
12	296	306	230
13	90	80	3
14	823	813	738
15	474	484	400
16	108	118	1072
17	412	402	329
18	225	234	215
19	909	900	890
20	1037	1027	1017
21	430	439	420
22	334	325	315
23	1077	11	1067
24	237	246	225
25	127	117	108
26	286	277	267
27	901	892	882
28	940	930	871
29	51	41	1017
30	196	206	123
31	197	207	124
32	863	873	789
33	792	782	707
34	1075	1065	992
35	827	817	807
36	54	63	44
37	864	873	854
38	1044	1035	1025
39	956	965	946
40	386	377	367
41	559	550	540
42	721	772	711
43	198	261	188
44	61	130	52
45	310	383	301
46	448	512	438
47	670	735	660
48	672	730	662
49	483	474	464
50	120	111	101
51	682	672	611
52	1047	1057	972
53	1044	1033	959
54	822	831	747
55	1060	1070	985
56	259	269	184
57	166	156	81
58	952	962	877
59	688	698	613
60	1044	3	971
61	553	563	479
62	751	741	667
63	834	823	744
64	371	381	297
65	624	614	539
66	916	906	832
67	922	912	837
68	701	711	627
69	716	706	631
70	401	410	391
71	376	367	357
72	852	861	842
73	675	684	665
74	609	618	600
75	881	890	871
76	1004	995	985
77	371	380	361
78	507	497	487
79	104	94	31
80	937	947	864
81	481	471	411
82	638	648	563
83	397	387	312
84	135	145	62
85	1006	1016	931
86	906	916	833
87	880	890	805
88	1011	1001	926
89	962	952	879
90	225	235	152
91	54	44	34
92	1032	1022	1012
93	308	299	289
94	219	210	200
95	619	610	600
96	695	686	676
97	298	289	279
98	1007	1016	997
99	405	414	395
100	403	394	384
101	751	742	732
102	221	211	200
103	358	367	347
104	1060	1051	1040
105	354	363	344
106	229	219	210
107	233	242	223
108	196	186	176
109	536	527	517
110	12	20	1075
111	185	194	176
112	353	343	334
113	975	984	965
114	336	326	316
115	310	319	300
116	784	775	765
117	617	607	598
118	985	976	966
119	622	631	612
120	574	583	564
121	176	167	103
122	544	534	459
123	729	680	671
124	744	680	670
125	918	854	844
126	69	1049	1039
127	751	634	624
128	340	191	181
129	182	42	33
130	170	106	96
131	649	574	564
132	366	314	304
133	35	1052	1042
134	601	536	526
135	1038	973	963
136	110	38	28
137	114	42	32
138	897	838	829
139	996	986	976
140	647	656	638
141	538	528	518
142	402	393	383
143	846	855	836
144	298	309	236
145	248	258	175
146	420	410	348
147	453	443	433
148	843	834	824
149	870	861	851
150	736	745	727
151	242	233	223
152	1022	1013	1003
153	472	463	453
154	764	774	700
155	17	27	986
156	671	681	544
157	999	1009	864
158	146	156	3
159	525	536	385
160	497	507	328
161	958	968	783
162	396	406	255
163	528	538	388
164	135	145	1064
165	911	922	770
166	118	128	1047
167	434	443	289
168	736	746	560
169	947	956	767
170	172	182	1057
171	498	508	280
172	516	526	272
173	284	294	11
174	835	844	526
175	713	722	372
176	396	406	58
177	31	41	765
178	566	576	227
179	967	977	631
180	958	968	652
181	308	318	30
182	963	973	710
183	14	24	846
184	342	352	106
185	691	701	451
186	516	526	269
187	378	388	135
188	507	517	259
189	627	637	376
190	502	512	247
191	930	940	695
192	822	832	616
193	1058	1068	879
194	535	545	351
195	796	806	608
196	1003	1013	843
197	415	425	284
