=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.09.26 12:16:17 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	126	109	135
1	169	149	159
2	48	27	38
3	59	48	68
4	67	57	76
5	11	163	20
6	66	46	56
7	131	110	121
8	51	31	41
9	137	116	127
10	118	108	127
11	151	141	160
12	70	50	60
13	56	36	46
14	22	3	12
15	61	41	51
16	113	103	122
17	20	11	29
18	91	81	100
19	56	35	46
20	169	149	159
21	93	83	102
22	33	23	42
23	92	73	83
24	63	43	53
25	121	101	111
26	172	152	162
27	111	90	102
28	144	123	134
29	77	57	67
30	28	18	37
31	86	75	95
32	141	131	150
33	77	55	67
34	158	148	167
35	163	154	172
36	98	88	107
37	161	141	151
38	120	110	129
39	145	125	135
40	160	150	169
41	117	107	126
42	97	77	87
43	100	80	90
44	145	135	155
45	101	81	91
46	74	53	64
47	93	83	102
48	39	19	29
49	158	148	167
50	28	18	37
51	113	92	103
52	121	101	111
53	77	57	67
54	89	69	79
55	61	41	51
56	3	160	21
57	138	128	147
58	145	135	154
59	124	104	114
60	153	143	162
61	101	81	91
62	167	147	157
63	81	60	71
64	75	54	65
65	46	36	55
66	77	67	86
67	154	134	144
68	150	140	159
69	74	54	64
70	32	22	41
71	98	77	88
72	100	90	108
73	81	71	90
74	113	103	122
75	58	38	48
76	92	72	82
77	134	114	124
78	131	121	140
79	65	137	55
80	111	120	101
81	30	21	11
82	118	109	99
83	79	70	60
84	61	52	42
85	112	102	92
86	12	3	159
87	64	55	45
88	142	150	132
89	142	151	132
90	124	115	105
91	12	3	159
92	3	12	158
93	82	72	62
94	147	156	137
95	115	105	96
96	21	12	3
97	78	87	68
98	64	55	45
99	114	123	104
100	141	150	131
101	133	124	113
102	30	38	20
103	43	33	23
104	87	96	77
105	26	35	16
106	52	42	32
107	58	67	48
108	42	33	23
109	84	93	74
110	62	71	52
111	22	31	12
112	92	82	72
113	107	97	88
114	91	81	71
115	94	85	75
116	23	32	13
117	114	122	104
118	109	118	99
119	97	88	78
120	57	48	38
121	84	93	75
122	54	45	35
123	102	93	82
124	23	32	13
125	148	139	129
126	61	70	51
127	70	79	60
128	100	109	89
129	157	166	147
130	139	148	129
131	57	66	47
132	78	87	68
133	99	108	89
134	93	102	84
135	172	163	153
136	12	167	157
137	111	120	101
138	79	69	59
139	79	69	60
140	117	107	97
141	73	63	53
142	165	3	155
143	104	113	94
144	42	33	23
145	82	91	72
146	127	117	108
147	112	121	102
148	115	106	96
149	74	65	55
150	147	138	128
151	62	71	52
152	168	158	148
153	23	32	13
154	144	153	135
155	91	81	71
156	63	53	44
157	73	82	63
158	83	91	73
159	84	93	74
160	160	169	150
161	166	157	147
162	89	98	79
163	89	98	79
164	46	37	27
165	128	118	108
166	80	89	147
167	21	161	11
168	124	104	114
169	156	136	146
170	3	153	164
171	131	111	121
172	30	11	20
173	60	40	50
174	31	21	40
175	94	84	103
176	67	57	76
177	74	64	83
178	40	30	49
179	145	125	135
180	131	122	140
181	38	28	46
182	25	15	34
183	84	64	74
184	109	89	99
185	54	44	63
186	121	111	130
187	78	58	69
188	144	124	134
189	115	95	105
190	48	38	57
191	138	128	147
192	88	68	78
193	67	58	76
194	152	132	142
195	116	96	106
196	93	73	83
197	151	141	160
198	109	99	118
199	11	164	20
200	33	13	24
201	140	130	150
202	111	91	101
203	114	94	104
204	34	13	24
205	137	117	127
206	68	49	59
207	53	32	43
208	105	95	114
209	88	78	97
210	124	103	114
211	146	136	155
212	157	147	166
213	117	107	125
214	11	156	167
215	167	157	11
216	110	99	119
217	66	56	75
218	38	17	28
219	116	106	125
220	121	111	130
221	135	115	125
222	126	106	116
223	90	70	80
224	11	156	167
225	82	62	72
226	21	147	12
227	153	133	143
228	108	88	98
229	66	46	56
230	77	57	67
231	164	154	173
232	134	114	124
233	126	116	135
234	101	81	91
235	45	35	54
236	145	135	154
237	138	118	128
238	52	42	61
239	174	154	164
240	58	38	48
241	120	100	110
242	75	54	65
243	22	12	31
244	141	131	150
245	145	135	154
246	133	113	123
247	106	96	115
248	85	75	94
249	117	97	108
250	122	102	112
251	36	26	45
252	3	155	165
253	21	3	30
254	51	31	41
255	99	89	108
256	91	80	100
257	50	30	40
258	51	31	41
259	35	24	44
260	37	16	27
261	133	113	123
262	159	139	149
263	76	65	85
