=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.09.26 12:13:54 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	1056	1092	1081
1	571	558	582
2	374	361	385
3	190	213	203
4	316	340	329
5	1041	1031	1018
6	339	326	350
7	858	870	881
8	467	456	443
9	15	28	39
10	810	789	800
11	1075	20	11
12	161	172	149
13	871	847	860
14	700	712	723
15	387	411	400
16	580	569	556
17	369	356	380
18	754	778	767
19	187	178	196
20	589	613	602
21	21	3	1070
22	225	233	215
23	493	470	483
24	229	253	242
25	682	693	669
26	791	767	780
27	640	627	651
28	948	938	925
29	388	412	401
30	1031	1042	1018
31	711	720	700
32	718	707	695
33	915	904	891
34	156	180	170
35	835	824	811
36	955	945	932
37	961	972	948
38	521	508	532
39	618	604	629
40	1033	1020	1044
41	196	185	172
42	530	554	543
43	986	966	976
44	388	377	364
45	337	326	313
46	57	68	44
47	37	27	17
48	142	153	129
49	453	462	441
50	117	128	104
51	893	903	880
52	299	278	289
53	1036	1050	1060
54	252	273	263
55	264	251	275
56	579	600	590
57	986	1009	999
58	425	402	415
59	1097	1088	1076
60	306	295	283
61	700	691	681
62	327	351	340
63	1049	1061	1072
64	288	277	265
65	207	218	195
66	66	90	79
67	269	279	289
68	841	854	865
69	876	852	865
70	34	21	45
71	554	567	578
72	381	357	370
73	639	615	628
74	292	281	268
75	1057	1044	1068
76	105	82	95
77	285	309	298
78	128	115	139
79	980	990	967
80	37	24	48
81	330	340	317
82	650	639	658
83	795	784	772
84	58	83	72
85	981	970	957
86	725	738	749
87	303	280	293
88	420	433	444
89	168	177	158
90	616	629	640
91	351	363	374
92	469	446	459
93	194	205	181
94	1088	1126	1102
95	540	516	529
96	314	327	338
97	81	104	94
98	402	415	426
99	798	787	807
100	325	349	338
101	200	223	213
102	1086	1071	1058
103	149	138	125
104	405	382	395
105	442	456	429
106	914	927	937
107	517	507	526
108	800	789	776
109	113	137	126
110	888	864	878
111	804	827	817
112	1040	1064	1054
113	334	321	345
114	385	398	409
115	1006	992	1017
116	994	1007	1018
117	299	310	319
118	770	783	794
119	440	453	464
120	943	966	956
121	545	536	526
122	262	238	251
123	591	614	603
124	165	154	142
125	1078	1068	1055
126	992	981	969
127	132	121	109
128	1027	1016	1003
129	177	166	154
130	900	887	911
131	863	839	852
132	626	605	616
133	339	351	363
134	1020	1007	1031
135	543	523	534
136	192	216	205
137	1058	1073	1082
138	589	578	566
139	379	356	369
140	427	440	451
141	535	511	524
142	465	452	475
143	892	868	881
144	259	249	268
145	990	1003	1014
146	956	943	967
147	97	106	84
148	188	175	199
149	63	74	50
150	1064	1040	1053
151	726	736	713
152	409	386	399
153	607	631	621
154	323	300	313
155	612	623	596
156	588	601	612
157	851	840	828
158	816	826	803
159	609	620	596
160	854	865	841
161	7052	7061	7041
162	874	885	861
163	12	35	24
164	400	424	414
165	997	1008	984
166	134	145	121
167	220	231	208
168	660	684	673
169	339	350	326
170	726	750	739
171	518	529	505
172	1077	1088	1064
173	59	71	46
174	648	658	635
175	269	290	280
176	811	834	824
177	550	561	537
178	816	840	829
179	907	927	917
180	1044	1068	1058
181	727	737	717
182	838	827	814
183	933	922	909
184	464	453	441
185	528	517	504
186	858	847	835
187	40	29	16
188	955	944	931
189	437	423	410
190	741	730	717
191	432	422	412
192	763	752	739
193	2509	2500	2489
194	560	547	571
195	393	380	404
196	995	982	1006
197	1016	1002	1027
198	429	418	438
199	382	368	393
200	705	692	716
201	1033	1020	1044
202	1079	1067	1091
203	429	416	440
204	873	860	884
205	870	859	879
206	896	909	919
207	521	508	531
208	26	13	37
209	207	220	231
210	757	768	777
211	358	346	369
212	833	820	843
213	587	566	608
214	178	117	201
215	803	790	814
216	181	157	170
217	373	350	363
218	196	183	207
219	548	558	535
220	647	659	670
221	507	483	496
