Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	577	551	599
1	470	492	513
2	473	516	495
3	309	288	266
4	903	948	928
5	958	1002	981
6	820	842	862
7	493	513	472
8	369	389	347
9	924	882	903
10	588	631	610
11	857	880	902
12	660	682	703
13	937	959	915
14	546	504	525
15	568	590	611
16	258	237	214
17	845	824	802
18	246	290	269
19	369	390	348
20	174	153	132
21	923	945	966
22	535	512	556
23	218	197	174
24	639	617	660
25	224	194	211
26	418	397	376
27	378	421	400
28	746	703	725
29	108	121	90
30	535	557	578
31	1015	1036	993
32	513	555	535
33	899	921	942
34	71	29	51
35	142	121	99
36	1034	1013	991
37	246	273	260
38	561	518	540
39	361	382	403
40	718	697	675
41	875	859	846
42	56	34	76
43	721	742	700
44	761	740	718
45	455	412	434
46	410	430	388
47	66	43	87
48	769	791	812
49	996	1017	975
50	259	238	280
51	907	928	886
52	480	493	466
53	262	283	240
54	896	875	853
55	109	152	131
56	720	696	742
57	610	567	589
58	303	324	281
59	250	208	230
60	431	453	474
61	905	862	884
62	448	425	469
63	330	316	296
64	14	1015	36
65	285	299	313
66	424	467	447
67	146	125	103
68	498	541	520
69	529	516	502
70	836	857	815
71	51	29	72
72	737	695	716
73	153	131	174
74	123	80	102
75	212	186	199
76	325	284	305
77	596	638	617
78	690	676	662
79	860	873	888
80	406	385	364
81	344	358	331
82	588	565	609
83	695	669	682
84	63	21	43
85	1008	987	966
86	282	305	325
87	627	605	648
88	326	348	369
89	778	791	804
90	1001	978	1022
91	511	554	533
92	934	913	891
93	814	835	793
94	931	910	887
95	537	550	524
96	243	256	222
97	955	969	982
98	114	92	135
99	477	501	514
100	468	490	510
101	305	325	283
102	569	526	548
103	449	463	476
104	426	447	404
105	491	469	512
106	292	315	336
107	978	998	956
108	757	736	714
109	469	449	426
110	441	420	399
111	280	302	323
112	573	596	617
113	20	42	63
114	138	181	161
115	723	702	679
116	553	511	532
117	687	666	645
118	713	700	727
119	867	910	889
120	446	488	468
121	627	641	654
122	393	414	372
123	366	324	346
124	505	491	474
125	297	342	321
126	299	257	279
127	996	983	969
128	129	116	101
129	418	433	446
130	672	694	714
131	805	826	783
132	633	611	654
133	511	489	532
134	338	360	381
135	703	734	721
136	434	389	413
