Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	64	101	81
1	64	51	38
2	56	43	29
3	11	38	24
4	39	72	52
5	64	77	90
6	3	32	20
7	39	52	26
8	74	3	21
9	46	59	33
10	16	49	29
11	78	22	12
12	38	64	51
13	71	84	58
14	70	83	12
15	71	12	84
16	54	41	28
17	90	77	64
18	48	61	74
19	17	43	30
20	40	66	53
21	48	74	61
22	3	39	21
23	73	12	86
24	61	93	74
25	42	29	16
26	56	89	69
27	77	21	12
28	68	3	81
29	72	12	85
30	75	62	49
31	34	60	47
32	70	12	83
33	16	42	29
34	3	76	20
35	41	74	55
36	85	59	72
37	60	86	73
38	72	59	46
39	18	51	31
40	58	71	45
41	75	29	3
42	15	41	28
43	61	74	48
44	20	53	33
45	21	47	34
46	43	69	56
47	73	30	3
48	49	63	75
49	47	80	60
50	19	45	33
51	23	49	36
52	58	85	72
53	42	75	55
54	59	33	47
55	17	50	30
56	22	11	78
57	52	89	65
58	21	3	32
59	12	37	24
60	87	74	61
61	45	64	32
62	14	39	27
63	63	49	76
64	51	84	64
65	16	42	29
66	43	69	57
67	51	25	38
68	58	84	71
69	24	50	37
70	43	76	56
71	80	24	11
72	74	11	87
73	23	49	36
74	32	65	46
75	33	12	21
76	73	3	21
77	56	69	82
78	42	55	29
79	81	4	68
80	76	21	3
81	64	90	78
82	21	11	77
83	15	42	29
84	48	62	75
85	80	24	11
86	44	57	27
87	12	44	22
88	43	69	56
89	21	40	11
90	11	79	23
91	38	64	51
92	21	41	11
93	80	67	54
94	24	57	38
95	23	49	36
96	43	69	56
97	52	85	66
98	56	82	69
99	64	51	39
100	53	86	66
101	73	47	60
102	21	33	11
103	51	84	65
104	85	72	12
105	53	79	66
106	23	11	36
107	21	54	35
108	19	33	46
109	21	39	3
110	80	67	93
111	14	47	27
112	65	91	78
113	59	92	72
114	18	44	31
115	24	37	50
116	58	91	71
117	66	79	92
118	58	91	71
119	76	49	63
120	71	11	84
121	3	39	20
122	43	30	17
123	63	83	50
124	23	56	36
125	11	34	21
126	11	86	73
127	66	92	79
128	67	54	41
129	32	58	46
130	53	41	67
131	58	88	75
132	21	32	3
133	25	38	12
134	72	85	59
135	71	12	84
136	69	56	81
137	29	55	42
138	51	84	64
139	82	69	3
140	20	53	33
141	45	71	58
142	34	67	47
143	52	65	78
144	29	43	56
145	11	36	23
146	55	82	69
147	22	55	35
148	39	27	13
149	12	38	25
150	68	55	43
151	52	26	39
152	57	70	44
153	3	31	21
154	12	35	22
155	22	55	36
156	21	75	3
157	34	67	48
158	46	72	59
159	69	43	56
160	3	33	21
161	75	29	3
162	62	75	88
163	76	21	11
164	50	76	63
165	37	51	24
166	26	59	39
167	3	76	21
168	16	49	29
169	73	11	87
170	72	56	43
171	77	20	11
172	21	47	35
173	62	75	88
174	22	11	35
175	66	86	53
176	74	11	87
177	49	23	36
178	33	20	11
179	14	27	40
180	23	56	36
181	40	67	54
182	43	69	57
183	48	35	61
184	63	96	76
185	14	40	27
186	18	44	32
187	57	83	70
188	69	82	56
189	33	60	47
190	49	75	62
191	31	57	44
192	56	82	70
193	39	65	52
194	44	57	70
195	73	11	86
196	76	21	3
197	52	65	78
198	66	92	79
199	29	42	16
200	74	3	21
201	3	31	21
202	37	24	11
203	64	90	77
204	37	70	50
205	50	76	63
206	21	11	77
207	57	83	71
208	92	79	66
209	70	57	83
210	69	11	82
211	34	47	61
212	80	100	67
213	91	79	65
214	68	3	81
215	90	77	64
216	52	66	79
217	28	15	41
