=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.10.03 13:25:09 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	1065	1078	1047
1	overflow


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	815	800	828
1	36276	36261	36290
2	8958	8972	8945
3	18643	18656	18628
4	36510	36528	36496
5	36611	36648	36639
6	7554	7581	7568
7	26033	26005	26020
8	31384	31397	31370
9	35084	35047	35065
10	27890	27905	27914
11	24	11	37
12	35	21	11
13	24	11	37
14	23	11	38
15	32	21	3
16	33	21	11
17	11	24	38
18	16729	16715	16700
19	25969	25941	25956
20	4945	4932	4919
21	30944	30931	30917
22	21758	21744	21771
23	35	11	22
24	36916	36903	36887
25	10329	10314	10342
26	3307	3292	3279
27	10926	10898	10913
28	11788	11815	11802
29	20683	20696	20669
30	21	33	3
31	36131	36117	36103
32	36	11	23
33	11788	11774	11801
34	19119	19106	19092
35	38	25	12
36	29091	29077	29104
37	18765	18751	18737
38	5105	5133	5120
39	7923	7937	7950
40	35	11	21
41	22	11	35
42	32852	32880	32866
43	387	416	401
44	24183	24211	24197
45	32	3	21
46	23	36	11
47	12	22	35
48	30905	30919	30932
49	15008	14981	14995
50	24576	24549	24562
51	34	21	12
52	27504	27517	27491
53	514	487	501
54	17099	17086	17072
55	6491	6478	6505
56	10293	10265	10279
57	37110	37082	37097
58	18601	18614	18629
59	12	21	35
60	5591	5605	5619
61	15760	15746	15773
62	3	32	20
63	3	32	21
64	40077	40093	40107
65	730	24955	24942
66	23066	23052	23039
67	10546	10533	10559
68	26171	26199	26186
69	overflow


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	33	3	21
1	11	20	34
2	3	20	31
3	11	21	34
4	11	22	35
5	12	20	32
6	24	37	11
7	31	3	21
8	33	3	21
9	21	31	3
10	36	12	24
11	12	21	34
12	36	11	24
13	12	24	37
14	21	32	11
15	22	34	11
16	21	34	11
17	32	3	21
18	33	12	21
19	3	21	31
20	32	11	21
21	12	20	33
22	12	23	36
23	11	20	32
24	11	21	34
25	35	12	23
26	24	36	11
27	23	35	11
28	36	11	24
29	34	11	22
30	22	36	12
31	31	3	21
32	21	32	3
33	11	20	33
34	21	34	3
35	36	12	24
36	21	31	3
37	37	11	24
38	21	34	3
39	31	3	21
40	36	11	24
41	20	33	11
42	3	21	32
43	37	12	25
44	3	20	32
45	31	3	21
46	31	3	21
47	12	25	38
48	35	11	23
49	33	11	21
50	32	3	21
51	22	35	11
52	31	3	21
53	22	34	12
54	21	33	3
55	21	34	11
56	21	31	3
57	3	21	33
58	35	11	22
59	21	31	3
60	35	11	22
61	22	34	11
62	11	22	35
63	31	3	21
64	37	11	24
65	11	21	34
66	34	12	22
67	11	21	34
68	11	21	34
69	11	21	34
70	32	3	21
71	21	32	11
72	22	31	4
73	11	21	37
74	21	34	11
75	3	21	32
76	11	21	34
77	11	24	36
78	21	31	3
79	4	21	33
80	12	23	36
81	3	20	33
82	12	25	37
83	36	11	24
84	21	34	11
85	33	11	21
86	3	20	30
87	21	34	12
88	24	36	11
89	36	11	24
90	31	3	21
91	21	30	3
92	33	11	21
93	31	3	21
94	33	3	21
95	23	35	11
96	34	12	22
97	20	33	11
98	21	34	11
99	21	34	11
100	23	36	11
101	21	31	3
102	12	23	36
103	21	33	11
104	22	35	11
105	21	33	11
106	11	23	36
107	11	24	36
108	11	23	35
109	24	37	11
110	24	36	12
111	34	11	21
112	12	23	35
113	34	11	21
114	35	11	22
115	3	21	33
116	32	3	21
117	21	34	11
118	31	3	21
119	11	22	34
120	3	21	32
121	32	11	20
122	36	11	24
123	31	4	21
124	22	35	12
125	37	11	25
126	12	24	36
127	31	3	21
128	35	11	23
129	24	37	11
130	11	23	36
131	35	11	23
132	11	22	35
133	11	21	34
134	12	23	36
135	22	35	12
136	12	25	38
137	23	36	11
138	21	34	11
139	23	36	11
140	12	21	34
141	22	35	11
142	35	11	22
143	36	11	24
144	3	21	36
145	33	3	21
146	31	3	21
147	20	34	11
148	12	22	35
149	23	35	11
150	4	21	31
151	21	30	3
152	24	37	11
153	11	23	36
154	11	22	35
155	21	34	11
156	11	22	35
157	34	11	22
158	21	31	3
159	21	34	11
160	11	21	34
161	23	36	11
162	34	11	21
163	11	24	37
164	31	3	21
165	21	33	11
166	24	36	11
167	11	21	33
168	3	20	31
169	31	3	21
170	35	12	23
171	3	20	31
172	33	11	21
173	11	21	35
174	21	33	11
175	24	37	12
176	12	22	34
177	21	32	12
178	36	11	24
179	11	21	33
180	31	3	21
181	12	24	37
182	24	36	11
183	21	32	3
184	33	11	21
185	11	20	35
186	11	20	33
187	21	30	3
188	3	20	31
189	32	3	21
190	21	33	11
191	3	20	30
192	11	21	34
193	32	3	21
194	12	24	36
195	35	12	23
196	34	11	22
197	31	4	21
198	31	3	21
199	24	37	12
200	35	11	23
201	23	36	12
202	32	11	20
203	35	12	22
204	32	3	21
205	23	36	11
206	21	31	3
207	11	21	33
208	12	25	37
209	11	20	34
210	21	33	11
211	21	34	3
212	24	37	11
213	12	24	37
214	20	33	11
215	11	22	35
216	33	12	21
217	35	11	22
218	32	11	20
219	36	11	24
220	33	11	20
221	3	20	32
222	35	11	23
223	22	34	12
224	36	12	24
225	32	3	21
226	38	12	24
227	33	11	21
228	11	22	35
229	20	32	11
230	3	20	31
231	31	3	21
232	34	12	21
233	3	21	32
234	11	23	36
235	11	25	37
236	32	3	21
237	3	20	32
238	3	21	32
239	37	11	24
240	32	3	21
241	32	3	21
242	36	11	23
243	21	31	3
244	25	38	12
245	37	12	25
246	31	3	21
247	25	39	12
248	23	36	11
249	3	21	30
250	22	35	12
251	11	20	33
252	31	3	21
253	31	3	21
254	11	21	34
255	11	21	33
256	11	22	35
257	21	31	3
258	11	23	36
259	35	11	23
260	35	11	22
261	3	21	32
262	22	36	12
263	21	30	3
264	12	22	34
265	22	36	12
266	35	12	23
267	3	20	30
268	3	20	30
269	33	11	21
270	11	20	32
271	37	12	25
272	3	21	33
273	36	11	24
274	37	12	25
275	31	3	21
276	21	35	11
277	36	11	23
278	34	11	21
279	22	35	11
280	21	32	3
281	23	36	11
282	37	11	24
283	21	33	11
284	3	20	31
285	11	25	38
286	22	35	11
287	24	37	11
288	21	30	3
289	36	11	24
290	22	36	12
291	11	20	32
292	3	21	32
293	24	37	12
294	21	34	3
295	11	22	35
296	31	3	21
297	24	37	12
298	11	20	33
299	11	23	37
300	21	32	3
301	21	30	3
302	11	24	36
303	32	3	21
304	11	23	35
305	36	11	23
306	12	22	35
307	3	20	32
308	34	11	22
309	22	35	11
310	23	36	12
311	32	3	21
312	21	31	3
313	22	35	11
314	11	21	34
315	21	31	3
316	35	11	22
317	11	23	36
318	20	32	11
319	21	31	3
320	24	37	11
321	21	31	3
322	24	37	11
323	32	12	21
324	33	11	21
325	11	23	36
326	22	34	12
327	11	21	33
328	11	20	33
329	11	22	35
330	11	23	36
331	34	11	21
332	31	3	21
333	32	3	21
334	32	4	21
335	33	11	21
336	24	37	12
337	40	11	24
338	24	37	11
339	34	11	22
340	11	23	36
341	21	32	3
342	36	12	23
343	11	23	35
344	24	37	12
345	21	32	3
346	12	20	33
347	36	11	24
348	11	22	35
349	11	22	35
350	33	11	21
351	11	21	34
352	22	33	4
353	24	36	12
354	23	37	12
355	11	23	36
356	21	34	12
357	31	3	21
358	36	11	23
359	25	38	12
360	32	11	20
361	21	31	3
362	21	30	3
363	35	11	23
364	3	21	33
365	23	36	11
366	31	3	21
367	34	11	22
368	11	23	36
369	23	35	12
370	11	22	35
371	20	33	11
372	36	11	22
373	22	35	12
374	21	31	3
375	22	34	11
376	32	3	21
377	22	34	11
378	12	21	34
379	11	21	34
380	35	11	23
381	3	20	31
382	12	23	36
383	21	34	11
384	33	11	21
385	21	32	12
386	21	30	3
387	21	30	3
388	3	23	36
389	32	3	21
390	11	20	33
391	12	24	37
392	11	21	34
393	21	32	3
394	20	32	11
395	11	24	36
396	22	35	11
397	21	33	3
398	32	3	21
399	37	11	24
400	12	23	36
401	32	11	20
402	11	21	33
403	21	33	12
404	25	37	12
405	21	31	3
406	11	20	33
407	35	11	23
408	12	23	36
409	35	11	23
410	32	3	21
411	37	11	25
412	3	21	31
413	35	11	22
414	31	3	21
415	23	36	12
416	11	24	36
417	35	11	22
418	11	20	32
419	11	20	32
420	21	32	3
421	36	12	23
422	11	23	36
423	21	31	3
424	11	25	38
425	12	24	36
426	11	21	35
427	21	31	3
428	21	32	3
429	32	3	21
430	3	21	33
431	37	12	25
432	22	36	11
433	20	32	11
434	32	3	21
435	21	35	12
436	21	31	3
437	23	36	11
438	38	12	25
439	31	3	21
440	23	39	11
441	12	25	37
442	31	3	21
443	3	21	32
444	31	3	21
445	20	32	11
446	37	11	25
447	3	20	31
448	34	11	22
449	21	33	3
450	34	11	22
451	21	33	11
452	21	33	11
453	21	31	3
454	12	24	38
455	36	12	23
456	31	4	21
457	21	33	11
458	31	3	21
459	11	21	34
460	24	36	11
461	11	24	37
462	34	12	22
463	21	30	3
464	21	33	12
465	24	36	12
466	11	24	37
467	21	33	12
468	32	3	21
469	35	11	22
470	21	31	3
471	35	11	23
472	3	21	31
473	21	31	3
474	11	22	35
475	11	21	34
476	23	36	11
477	34	12	21
478	3	21	32
479	20	32	11
480	23	35	11
481	11	23	36
482	37	12	25
483	11	24	37
484	36	11	24
485	36	11	24
486	38	11	24
487	34	11	20
488	31	4	21
489	32	3	21
490	34	11	21
491	3	20	31
492	21	34	11
493	31	3	21
494	36	12	24
495	35	11	22
496	36	11	22
497	26	38	12
498	23	36	11
499	36	12	23
500	21	32	3
501	34	11	20
502	11	24	37
503	11	20	35
504	22	35	12
505	21	32	11
506	3	20	31
507	3	20	31
508	3	20	31
509	11	20	33
510	20	34	11
511	21	33	12
512	3	20	31
513	23	36	11
514	11	25	37
515	34	11	21
516	3	21	32
517	21	32	3
518	3	21	31
519	37	12	24
520	3	21	33
521	11	20	33
522	33	11	20
523	24	36	12
524	35	11	23
525	21	32	3
526	21	34	11
527	3	21	31
528	21	35	12
529	21	33	12
530	21	34	11
531	21	34	11
532	21	33	11
533	11	21	34
534	34	11	22
535	32	3	21
536	23	36	11
537	25	37	11
538	36	12	24
539	31	3	21
540	3	20	32
541	3	21	32
542	3	21	32
543	32	3	21
544	21	33	11
545	23	36	11
546	24	36	11
547	22	32	4
548	11	21	33
549	25	37	11
550	12	23	36
551	12	20	32
552	11	20	32
553	3	21	32
554	24	37	11
555	33	12	21
556	21	32	3
557	37	11	24
558	37	11	24
559	11	23	36
560	11	21	34
561	24	36	11
562	21	32	3
563	21	31	3
564	11	20	33
565	12	23	36
566	3	21	31
567	11	20	33
568	20	33	11
569	21	31	3
570	33	12	21
571	12	24	37
572	11	22	35
573	31	3	21
574	33	12	21
575	3	20	31
576	22	35	11
577	32	3	21
578	11	22	35
579	34	3	21
580	35	11	22
581	11	23	36
582	21	33	11
583	21	34	11
584	32	3	21
585	37	11	24
586	34	11	22
587	21	34	11
588	21	31	3
589	33	3	21
590	32	11	20
591	3	20	30
592	11	24	37
593	11	24	36
594	37	11	25
595	21	34	11
596	32	11	20
597	21	31	3
598	11	22	34
599	23	35	11
600	20	32	11
601	20	32	11
602	11	24	37
603	31	3	21
604	11	24	37
605	22	34	12
606	3	21	33
607	36	11	24
608	4	21	33
609	31	3	21
610	34	11	22
611	4	21	31
612	11	23	36
613	36	12	24
614	23	35	11
615	36	12	21
616	32	11	20
617	34	12	21
618	3	20	32
619	21	35	11
620	35	11	22
621	11	23	35
622	12	21	35
623	34	11	21
624	11	20	32
625	11	23	35
626	21	30	3
627	34	11	22
628	11	21	33
629	33	11	21
630	36	12	24
631	21	31	3
632	32	3	21
633	36	12	23
634	12	23	35
635	23	37	11
636	37	11	24
637	32	3	21
638	34	11	22
639	3	20	31
640	3	21	31
641	3	20	32
642	21	33	12
643	32	3	21
644	11	20	33
645	33	11	21
646	11	23	35
647	21	34	11
648	32	3	21
649	21	32	3
650	33	11	20
651	34	12	22
652	32	3	21
653	11	20	33
654	11	24	36
655	3	20	31
656	35	11	21
657	35	12	22
658	22	34	12
659	23	36	11
660	11	25	38
661	12	21	34
662	20	32	11
663	31	3	21
664	11	20	32
665	31	3	21
666	22	35	12
667	24	37	11
668	34	11	22
669	23	36	11
670	32	3	21
671	12	25	37
672	23	35	11
673	22	35	12
674	11	24	37
675	32	11	20
676	23	36	11
677	21	31	3
678	3	21	33
679	36	12	24
680	11	22	34
681	32	3	21
682	32	11	20
683	24	37	12
684	32	3	21
685	38	11	25
686	38	12	24
687	34	11	21
688	24	37	12
689	23	35	11
690	22	31	4
691	12	21	36
692	11	21	35
693	12	21	34
694	34	12	21
695	11	20	33
696	20	32	11
697	32	3	21
698	21	33	12
699	11	22	35
700	23	36	12
701	21	32	3
702	4	21	33
703	11	23	35
704	3	21	32
705	35	11	22
706	21	31	3
707	12	24	37
708	23	36	11
709	23	36	12
710	32	3	21
711	11	20	33
712	24	36	12
713	38	11	26
714	21	34	11
715	21	34	11
716	21	31	3
717	21	34	12
718	21	33	11
719	32	3	21
720	23	36	12
721	31	3	21
722	21	33	3
723	11	20	32
724	23	35	11
725	23	36	11
726	33	11	21
727	23	35	12
728	21	31	3
729	25	37	12
730	11	23	37
731	11	20	33
732	32	3	21
733	22	33	4
734	26	38	12
735	11	21	34
736	36	11	23
737	11	20	32
738	12	22	34
739	11	20	33
740	36	11	23
741	22	34	12
742	23	35	11
743	21	34	11
744	35	11	23
745	36	11	24
746	23	36	11
747	12	20	33
748	24	37	11
749	22	35	11
750	11	20	33
751	3	21	31
752	21	33	11
753	12	25	37
754	32	3	21
755	3	21	32
756	12	25	37
757	31	4	21
758	11	23	36
759	3	20	31
760	11	24	37
761	32	11	20
762	32	3	21
763	20	32	11
764	3	20	30
765	23	37	11
766	22	35	11
767	11	23	36
768	33	11	20
769	11	21	35
770	34	11	21
771	36	12	23
772	3	21	30
